,accuracuy,precision,recall,f1_score,name,embeddings_type,data,best_params,is_train
4,0.3849016688866254,0.41855148461528496,0.37914821060611864,0.3728955237556484,NaiveBayes,bert_small,title,{},True
5,0.36433333333333334,0.40356274451938545,0.36433333333333334,0.35681171902303216,NaiveBayes,bert_small,title,{},False
0,0.9568283318968894,0.9554898846909015,0.9573911966005071,0.9562027027256995,MLP,bert_small,synopsis,{},True
1,0.6833333333333333,0.6850124131088992,0.6833333333333335,0.6814940122170434,MLP,bert_small,synopsis,{},False
2,0.8479589438219854,0.8508091651149459,0.8470915314749788,0.8483429537710133,SVC,bert_small,synopsis,{},True
3,0.6826666666666666,0.6887710381485872,0.6826666666666666,0.6835280770722558,SVC,bert_small,synopsis,{},False
4,0.4813915223693489,0.49609501208191686,0.47681013832165287,0.4723469819096113,NaiveBayes,bert_small,synopsis,{},True
5,0.4623333333333333,0.48505574955107744,0.4623333333333334,0.45739072186776863,NaiveBayes,bert_small,synopsis,{},False
0,0.969952205594296,0.9697237367653282,0.970183419903764,0.9699366190911044,MLP,bert_small,both,{},True
1,0.7103333333333334,0.7146091334674957,0.7103333333333334,0.7112012676887914,MLP,bert_small,both,{},False
2,0.9961216015043485,0.9962171861094631,0.9961136372778081,0.9961612607156377,SVC,bert_small,both,{},True
3,0.716,0.7220992871828389,0.716,0.7171952162910308,SVC,bert_small,both,{},False
4,0.48934419807255347,0.5088864863134512,0.4857148422504262,0.4799705356404249,NaiveBayes,bert_small,both,{},True
5,0.47,0.4950443082147584,0.47,0.4631457874363291,NaiveBayes,bert_small,both,{},False
